report,presetTestName,title,weakUsedForUnderfill,tierDecision,tierReason,finalEligibilityReason,trustClassification,candidateNativeSpecificSignalCount,queryOnlySignalCount,categoryOnlySignalCount,genreSignalCount,wouldPassWithoutQueryEvidence,externalOrNormalizedGenreWithoutGoogleNative,queryOnlyUnresolved,topUntrustedOrigins
"pasted-text-6993560d-b54d-4496-82f5-934e2799b12b.txt","Test C","Starclimber",true,"selected_in_counterfactual_final","selected_weak_underfill_fallback","teens_googlebooks_named_final_eligibility_passed_via:teen_googlebooks_audience_reconciliation_rescue",untrusted_context_only,0,5,0,2,false,true,true,"planned_query_text_context:2 | route_or_profile_context:2 | query_facet_context:1"
"pasted-text-6993560d-b54d-4496-82f5-934e2799b12b.txt","Test C","Waer",false,"excluded_from_counterfactual_final","weak_not_needed_after_higher_ranked_weak_underfill","teens_googlebooks_named_final_eligibility_passed_via:teen_googlebooks_audience_reconciliation_rescue",untrusted_context_only,0,5,0,2,false,true,true,"planned_query_text_context:2 | route_or_profile_context:2 | query_facet_context:1"
"pasted-text-c20b8e6b-d378-4e10-bf54-c2870d18a8b4.txt","Test A","Divergent Official Illustrated Movie Companion",false,"excluded_non_taste_final_eligibility","teen_googlebooks_publication_identity_supplemental_companion","teen_googlebooks_publication_identity_supplemental_companion",untrusted_context_only,0,6,0,2,false,true,true,"route_or_profile_context:3 | query_facet_context:2 | unresolved_normalized_non_native:1"
"pasted-text-c20b8e6b-d378-4e10-bf54-c2870d18a8b4.txt","Test A","You",true,"selected_in_counterfactual_final","selected_weak_underfill_fallback","teens_googlebooks_named_final_eligibility_passed",untrusted_context_only,0,3,0,2,false,true,true,"query_facet_context:2 | route_or_profile_context:1"
"pasted-text-c20b8e6b-d378-4e10-bf54-c2870d18a8b4.txt","Test A","Pretties with Ugly Thoughts",true,"selected_in_counterfactual_final","selected_weak_underfill_fallback","teens_googlebooks_named_final_eligibility_passed",untrusted_context_only,0,4,0,2,false,true,true,"query_facet_context:2 | route_or_profile_context:2"
"pasted-text-c20b8e6b-d378-4e10-bf54-c2870d18a8b4.txt","Test A","Last Chance Books",true,"selected_in_counterfactual_final","selected_weak_underfill_fallback","teens_googlebooks_named_final_eligibility_passed",untrusted_context_only,0,4,0,2,false,true,true,"query_facet_context:2 | route_or_profile_context:2"
"pasted-text-c20b8e6b-d378-4e10-bf54-c2870d18a8b4.txt","Test A","Your Eyes in Stars",true,"selected_in_counterfactual_final","selected_weak_underfill_fallback","teens_googlebooks_named_final_eligibility_passed",untrusted_context_only,0,4,0,2,false,true,true,"query_facet_context:2 | route_or_profile_context:2"
"pasted-text-c20b8e6b-d378-4e10-bf54-c2870d18a8b4.txt","Test A","The Giver Illustrated Gift Edition",true,"selected_in_counterfactual_final","selected_weak_underfill_fallback","teens_googlebooks_named_final_eligibility_passed",untrusted_context_only,0,5,0,2,false,true,true,"route_or_profile_context:3 | query_facet_context:2"
"pasted-text-c20b8e6b-d378-4e10-bf54-c2870d18a8b4.txt","Test A","The Role of Nature in the Works of Octavia Butler",false,"excluded_non_taste_final_eligibility","teen_googlebooks_publication_identity_literary_study","teen_googlebooks_publication_identity_literary_study",untrusted_context_only,0,5,0,2,false,true,true,"route_or_profile_context:3 | query_facet_context:2"
"pasted-text-c20b8e6b-d378-4e10-bf54-c2870d18a8b4.txt","Test A","Someone Like Summer",false,"excluded_from_counterfactual_final","weak_not_needed_after_higher_ranked_weak_underfill","teens_googlebooks_named_final_eligibility_passed",untrusted_context_only,0,3,0,2,false,true,true,"query_facet_context:2 | route_or_profile_context:1"
"pasted-text-0cf2032e-283d-4ecc-8a82-ee32fe02458d.txt","Test B","Your Eyes in Stars",true,"selected_in_counterfactual_final","selected_weak_underfill_fallback","teens_googlebooks_named_final_eligibility_passed",untrusted_context_only,0,5,0,2,false,true,true,"query_facet_context:2 | route_or_profile_context:2 | query_family_context:1"
"pasted-text-0cf2032e-283d-4ecc-8a82-ee32fe02458d.txt","Test B","Someone Like Summer",true,"selected_in_counterfactual_final","selected_weak_underfill_fallback","teens_googlebooks_named_final_eligibility_passed",untrusted_context_only,0,4,0,2,false,true,true,"query_facet_context:2 | route_or_profile_context:1 | query_family_context:1"
"pasted-text-1d3a8998-9adc-4ace-8b91-03f55dad4d7d.txt","Test C","Crowned (A Conyza Bennett story, Book 3)",true,"selected_in_counterfactual_final","selected_weak_underfill_fallback","teens_googlebooks_named_final_eligibility_passed",untrusted_context_only,0,7,0,2,false,true,true,"route_or_profile_context:3 | planned_query_text_context:2 | query_facet_context:1 | query_family_context:1"
"pasted-text-1d3a8998-9adc-4ace-8b91-03f55dad4d7d.txt","Test C","Love Is Hell",true,"selected_in_counterfactual_final","selected_weak_underfill_fallback","teens_googlebooks_named_final_eligibility_passed",untrusted_context_only,0,7,0,2,false,true,true,"route_or_profile_context:3 | planned_query_text_context:2 | query_facet_context:1 | query_family_context:1"
"pasted-text-1d3a8998-9adc-4ace-8b91-03f55dad4d7d.txt","Test C","Sydney Bridge Upside Down: Text Classics",true,"selected_in_counterfactual_final","selected_weak_underfill_fallback","teens_googlebooks_named_final_eligibility_passed",untrusted_context_only,0,6,0,2,false,true,true,"planned_query_text_context:2 | route_or_profile_context:2 | query_facet_context:1 | query_family_context:1"
