report,presetTestName,title,weakReason,weakUsedForUnderfill,finalEligibilityReason,tierReason,publicationShape,descriptionPresent,descriptionLength,isbnPresent,candidateNativeSpecificSignalCount,queryFamilyOnlySignalCount,categoryOnlySignalCount,genreSignalCount,storyNarrativeEvidenceCount,dislikedSignalCount,netScore,wouldPassWithoutQueryEvidence,externalOrNormalizedGenreWithoutGoogleNative,metadataSparse
"pasted-text-c20b8e6b-d378-4e10-bf54-c2870d18a8b4.txt","Test A","You",query_only_unresolved,true,"teens_googlebooks_named_final_eligibility_passed","selected_weak_underfill_fallback","novel",true,,true,0,3,0,2,2,3,13.263,false,true,false
"pasted-text-c20b8e6b-d378-4e10-bf54-c2870d18a8b4.txt","Test A","Pretties with Ugly Thoughts",query_only_unresolved,true,"teens_googlebooks_named_final_eligibility_passed","selected_weak_underfill_fallback","novel",true,,true,0,4,0,2,4,3,11.013,false,true,false
"pasted-text-c20b8e6b-d378-4e10-bf54-c2870d18a8b4.txt","Test A","Last Chance Books",query_only_unresolved,true,"teens_googlebooks_named_final_eligibility_passed","selected_weak_underfill_fallback","novel",true,,true,0,4,0,2,2,3,11.916,false,true,false
"pasted-text-c20b8e6b-d378-4e10-bf54-c2870d18a8b4.txt","Test A","Your Eyes in Stars",query_only_unresolved,true,"teens_googlebooks_named_final_eligibility_passed","selected_weak_underfill_fallback","unknown",true,,true,0,4,0,2,1,3,14.166,false,true,false
"pasted-text-c20b8e6b-d378-4e10-bf54-c2870d18a8b4.txt","Test A","The Giver Illustrated Gift Edition",query_only_unresolved,true,"teens_googlebooks_named_final_eligibility_passed","selected_weak_underfill_fallback","novel",true,,true,0,5,0,2,4,4,10.791,false,true,false
"pasted-text-c20b8e6b-d378-4e10-bf54-c2870d18a8b4.txt","Test A","The Role of Nature in the Works of Octavia Butler",publication_identity_rejected,false,"teen_googlebooks_publication_identity_literary_study","teen_googlebooks_publication_identity_literary_study","novel",true,,true,0,5,0,2,2,4,11.013,false,true,false
"pasted-text-c20b8e6b-d378-4e10-bf54-c2870d18a8b4.txt","Test A","Someone Like Summer",query_only_unresolved,false,"teens_googlebooks_named_final_eligibility_passed","weak_not_needed_after_higher_ranked_weak_underfill","novel",true,,true,0,3,0,2,2,3,9.534,false,true,false
"pasted-text-0cf2032e-283d-4ecc-8a82-ee32fe02458d.txt","Test B","Your Eyes in Stars",query_only_unresolved,true,"teens_googlebooks_named_final_eligibility_passed","selected_weak_underfill_fallback","unknown",true,,true,0,5,0,2,1,3,13.144,false,true,false
"pasted-text-0cf2032e-283d-4ecc-8a82-ee32fe02458d.txt","Test B","Someone Like Summer",query_only_unresolved,true,"teens_googlebooks_named_final_eligibility_passed","selected_weak_underfill_fallback","novel",true,,true,0,4,0,2,2,2,10.488,false,true,false
"pasted-text-1d3a8998-9adc-4ace-8b91-03f55dad4d7d.txt","Test C","Crowned (A Conyza Bennett story, Book 3)",query_only_unresolved,true,"teens_googlebooks_named_final_eligibility_passed","selected_weak_underfill_fallback","series_installment",true,,true,0,7,0,2,1,6,20.509,false,true,false
"pasted-text-1d3a8998-9adc-4ace-8b91-03f55dad4d7d.txt","Test C","Love Is Hell",query_only_unresolved,true,"teens_googlebooks_named_final_eligibility_passed","selected_weak_underfill_fallback","novel",true,,true,0,7,0,2,3,6,17.003,false,true,false
"pasted-text-1d3a8998-9adc-4ace-8b91-03f55dad4d7d.txt","Test C","Sydney Bridge Upside Down: Text Classics",query_only_unresolved,true,"teens_googlebooks_named_final_eligibility_passed","selected_weak_underfill_fallback","novel",true,,true,0,6,0,2,3,5,17.003,false,true,false
