title,reports,classification,classificationReason,requestedDeck,audienceBand,finalReason,finalDecision,identity,identityConfidence,publicationShape,shapeRescued,pageCount,contentMaturity,sourceMaturityRating,maturityDecision,ageSuitabilityDecision,identityEvidence
"Miss Impossible","pasted-text-81d1a027-7fa0-4bef-8d71-c8390a5b37a7.txt | pasted-text-72ef5918-9d70-473a-97f0-c4b1ec63f103.txt | pasted-text-28db61bb-a1cd-4885-90a6-9a5c24ce800b.txt | pasted-text-8b4ec4b7-70fb-41a2-b905-d4d29e2c7c54.txt | pasted-text-63355b4a-0836-4688-b900-c69b8d6834f9.txt",works_for_both,middle_grade_identity_with_juvenile_fiction_signals_but_not_high_enough_for_clear_preteen,preteens,kids,maturity_band_mismatch,rejected,middle_grade_novel,0.65,novel,false,259,not_mature,NOT_MATURE,not_mature_content_allowed_for_preteens_deck,"not_selected:maturity_band_mismatch:age_suitability=0.25","title | description | categories | publisher | authors | page_count:259 | print_type:book | juvenile_fiction_category"
"ParaNorthern","pasted-text-b90d846f-d498-49c8-8c1d-999f8daa0139.txt",clearly_preteen,middle_grade_identity_with_strong_narrative_and_chapter_book_length,preteens,kids,maturity_band_mismatch,rejected,middle_grade_novel,0.85,novel,false,244,not_mature,NOT_MATURE,not_mature_content_allowed_for_preteens_deck,"not_selected:maturity_band_mismatch:age_suitability=0.25","title | subtitle | description | categories | publisher | authors | page_count:244 | print_type:book | juvenile_fiction_category | story_level_or_fiction_language"
"R.I.P. Nanny Tobbins","pasted-text-81d1a027-7fa0-4bef-8d71-c8390a5b37a7.txt | pasted-text-d05c8e22-0f7d-4fe8-bbb7-4b128e0747ba.txt | pasted-text-63355b4a-0836-4688-b900-c69b8d6834f9.txt",works_for_both,middle_grade_identity_with_juvenile_fiction_signals_but_not_high_enough_for_clear_preteen,preteens,kids,maturity_band_mismatch,rejected,middle_grade_novel,0.65,novel,false,207,not_mature,NOT_MATURE,not_mature_content_allowed_for_preteens_deck,"not_selected:maturity_band_mismatch:age_suitability=0.25","title | subtitle | description | categories | publisher | authors | page_count:207 | print_type:book | juvenile_fiction_category"
"Spark Hunter","pasted-text-81d1a027-7fa0-4bef-8d71-c8390a5b37a7.txt | pasted-text-b90d846f-d498-49c8-8c1d-999f8daa0139.txt | pasted-text-d05c8e22-0f7d-4fe8-bbb7-4b128e0747ba.txt | pasted-text-63355b4a-0836-4688-b900-c69b8d6834f9.txt",clearly_preteen,middle_grade_identity_with_strong_narrative_and_chapter_book_length,preteens,kids,maturity_band_mismatch,rejected,middle_grade_novel,0.85,novel,false,270,not_mature,NOT_MATURE,not_mature_content_allowed_for_preteens_deck,"not_selected:maturity_band_mismatch:age_suitability=0.25","title | description | categories | publisher | authors | page_count:270 | print_type:book | juvenile_fiction_category | story_level_or_fiction_language"
"The Crooked Oak Mysteries (5) – The Creatures of Killburn Mine","pasted-text-72ef5918-9d70-473a-97f0-c4b1ec63f103.txt | pasted-text-439a969f-620b-4692-8c20-3303f5ffa921.txt | pasted-text-28db61bb-a1cd-4885-90a6-9a5c24ce800b.txt | pasted-text-8b4ec4b7-70fb-41a2-b905-d4d29e2c7c54.txt | pasted-text-b90d846f-d498-49c8-8c1d-999f8daa0139.txt | pasted-text-d05c8e22-0f7d-4fe8-bbb7-4b128e0747ba.txt",works_for_both,middle_grade_identity_with_juvenile_fiction_signals_but_not_high_enough_for_clear_preteen,preteens,kids,maturity_band_mismatch,rejected,middle_grade_novel,0.85,unknown,true,84,not_mature,NOT_MATURE,not_mature_content_allowed_for_preteens_deck,"not_selected:maturity_band_mismatch:age_suitability=0.25","title | description | categories | publisher | authors | page_count:84 | print_type:book | juvenile_fiction_category | story_level_or_fiction_language"
"The Good, the Bad, and the Bossy","pasted-text-81d1a027-7fa0-4bef-8d71-c8390a5b37a7.txt | pasted-text-72ef5918-9d70-473a-97f0-c4b1ec63f103.txt | pasted-text-28db61bb-a1cd-4885-90a6-9a5c24ce800b.txt | pasted-text-8b4ec4b7-70fb-41a2-b905-d4d29e2c7c54.txt | pasted-text-63355b4a-0836-4688-b900-c69b8d6834f9.txt",works_for_both,middle_grade_identity_with_juvenile_fiction_signals_but_not_high_enough_for_clear_preteen,preteens,kids,maturity_band_mismatch,rejected,middle_grade_novel,0.65,novel,false,305,not_mature,NOT_MATURE,not_mature_content_allowed_for_preteens_deck,"not_selected:maturity_band_mismatch:age_suitability=0.25","title | description | categories | publisher | authors | page_count:305 | print_type:book | juvenile_fiction_category"
