round,queryCandidate,primaryQuery,profileId,rawApiCount,acceptedAfterSourcePolicy,acceptanceRatePct,rejectedBeforeNormalization,normalizedCandidates,recommendationContributionCount,uniqueNarrativeFictionYield,uniqueDecisionWorthyNarrativeYield,selectedCount
3,"teen science fiction","teen science fiction",scifi-speculative-mixed,0,0,0,0,0,0,0,0,0
3,"young adult dystopian fiction","young adult dystopian fiction",scifi-space-opera,0,0,0,0,0,0,0,0,0
3,"young adult dystopian fiction","young adult dystopian fiction",scifi-dystopian,0,0,0,0,0,0,0,0,0
3,"young adult dystopian fiction","young adult dystopian fiction",scifi-speculative-mixed,0,0,0,0,0,0,0,0,0
3,"YA dystopian","YA dystopian",scifi-space-opera,0,0,0,0,0,0,0,0,0
3,"YA dystopian","YA dystopian",scifi-dystopian,0,0,0,0,0,0,0,0,0
3,"YA dystopian","YA dystopian",scifi-speculative-mixed,0,0,0,0,0,0,0,0,7
3,"YA speculative fiction","YA speculative fiction",scifi-space-opera,0,0,0,0,0,0,0,0,7
3,"YA speculative fiction","YA speculative fiction",scifi-dystopian,0,0,0,0,0,0,0,0,0
3,"YA speculative fiction","YA speculative fiction",scifi-speculative-mixed,0,0,0,0,0,0,0,0,0
3,"YA space opera","YA space opera",scifi-space-opera,0,0,0,0,0,0,0,0,7
3,"YA space opera","YA space opera",scifi-dystopian,0,0,0,0,0,0,0,0,0
3,"YA space opera","YA space opera",scifi-speculative-mixed,0,0,0,0,0,0,0,0,0
3,"science fiction for teens","science fiction for teens",scifi-space-opera,20,1,5,19,1,1,1,0,1
3,"science fiction for teens","science fiction for teens",scifi-dystopian,0,0,0,0,0,0,0,0,4
3,"science fiction for teens","science fiction for teens",scifi-speculative-mixed,20,1,5,19,1,1,1,0,1
4,"young adult science fiction novel","young adult science fiction novel",scifi-space-opera,0,0,0,0,0,0,0,0,7
4,"young adult science fiction novel","young adult science fiction novel",scifi-dystopian,20,0,0,20,0,0,0,0,6
4,"young adult science fiction novel","young adult science fiction novel",scifi-speculative-mixed,20,0,0,20,0,0,0,0,0
