budgetLabel,timeoutDeltaMs,runId,round,scopeFamily,requiredFamily,profileId,profileLabel,queryText,queryFamily,queryCascadeIndex,attemptNumber,elapsedMs,timedOut,abortOrigin,responseHeadersReceived,bodyCompleted,docsReturned,acceptedAfterSourcePolicy,finalContribution,contributedToFinalSlate,timeoutBudgetRemainingAtFetchStartMs,failedReason,lifecycleStage
production,0,production-romance-r6,6,romance,contemporary/romance,romance-contemporary-sweet,Sweet contemporary romance,romance general cute fun,romance_historical,1,1,259,false,,true,true,1,1,0,false,2000,,completed
plus_500ms,500,plus_500ms-adventure_historical-r6,6,adventure_historical,adventure/historical,historical-adventure-exploration,Historical adventure and exploration,teen historical fiction,romance_historical,0,1,280,false,,true,true,8,2,0,false,2500,,completed
plus_500ms,500,plus_500ms-adventure_historical-r6,6,adventure_historical,adventure/historical,historical-adventure-exploration,Historical adventure and exploration,teen realistic fiction,contemporary_drama,1,1,492,false,,true,true,8,7,3,true,2500,,completed
plus_500ms,500,plus_500ms-adventure_historical-r6,6,adventure_historical,adventure/historical,historical-adventure-exploration,Historical adventure and exploration,young adult historical adventure,adventure,2,1,2512,true,local_timeout,false,false,0,0,0,false,2500,per_query_timeout,pre_headers
plus_750ms,750,plus_750ms-adventure_historical-r6,6,adventure_historical,adventure/historical,historical-adventure-exploration,Historical adventure and exploration,teen historical fiction,romance_historical,0,1,269,false,,true,true,8,2,0,false,2750,,completed
plus_750ms,750,plus_750ms-adventure_historical-r6,6,adventure_historical,adventure/historical,historical-adventure-exploration,Historical adventure and exploration,teen realistic fiction,contemporary_drama,1,1,176,false,,true,true,8,7,3,true,2750,,completed
plus_750ms,750,plus_750ms-adventure_historical-r6,6,adventure_historical,adventure/historical,historical-adventure-exploration,Historical adventure and exploration,young adult historical adventure,adventure,2,1,632,false,,true,true,8,0,0,false,2750,,completed
plus_750ms,750,plus_750ms-adventure_historical-r6,6,adventure_historical,adventure/historical,historical-adventure-exploration,Historical adventure and exploration,young adult fantasy,emergency_fallback,1,1,157,false,,true,true,8,0,0,false,1500,emergency_fallback_probe_returned_docs,completed
production,0,production-adventure_historical-r6,6,adventure_historical,adventure/historical,historical-adventure-exploration,Historical adventure and exploration,teen historical fiction,romance_historical,0,1,252,false,,true,true,8,2,0,false,2000,,completed
production,0,production-adventure_historical-r6,6,adventure_historical,adventure/historical,historical-adventure-exploration,Historical adventure and exploration,teen realistic fiction,contemporary_drama,1,1,140,false,,true,true,8,7,3,true,2000,,completed
production,0,production-adventure_historical-r6,6,adventure_historical,adventure/historical,historical-adventure-exploration,Historical adventure and exploration,young adult historical adventure,adventure,2,1,768,false,,true,true,8,0,0,false,2000,,completed
production,0,production-adventure_historical-r6,6,adventure_historical,adventure/historical,historical-adventure-exploration,Historical adventure and exploration,young adult fantasy,emergency_fallback,1,1,518,false,,true,true,8,0,0,false,1500,emergency_fallback_probe_returned_docs,completed
plus_250ms,250,plus_250ms-adventure_historical-r6,6,adventure_historical,adventure/historical,historical-adventure-exploration,Historical adventure and exploration,teen historical fiction,romance_historical,0,1,143,false,,true,true,8,2,0,false,2250,,completed
plus_250ms,250,plus_250ms-adventure_historical-r6,6,adventure_historical,adventure/historical,historical-adventure-exploration,Historical adventure and exploration,teen realistic fiction,contemporary_drama,1,1,242,false,,true,true,8,7,3,true,2250,,completed
